3415-HCP01-PIO01-PO07-XY2103-CMD,Remote IO\HCP-IO,Bool,%Q1934.1,Bulk Unload 1 to Virgin Hopper or Reclaim Hopper Diverter Valve (D3),TRUE,TRUE,TRUE
3415-BUP01-PIO01-PIA02-WC1101,Remote IO\BUP-IO,Int,%IW2124,Bulk Unload Load Cell,TRUE,TRUE,TRUE
+3415-BUP1-PIO1-PI1-PSW1,Remote IO\BUP-IO,Bool,%I2120.0,BUP01 Main Air Pressure Switch,TRUE,TRUE,TRUE
+3415-BUP1-PIO1-PI1-PDS902- LO,Remote IO\BUP-IO,Bool,%I2120.1,Discharge bed Fluidization  Low,TRUE,TRUE,TRUE
+3415-BUP1-PIO1-PI1-PDS902-HI,Remote IO\BUP-IO,Bool,%I2120.2,Discharge bed Fluidization High,TRUE,TRUE,TRUE
+3415-BUP01-PIO01-PI01-FSW1705-LO FLW,Remote IO\BUP-IO,Bool,%I2120.3,Discharge bed Fluidization Low flow,TRUE,TRUE,TRUE
+3415-BUP01-PIO01-PI01-FSW1705- HI FLW,Remote IO\BUP-IO,Bool,%I2120.4,Discharge bed Fluidization High flow,TRUE,TRUE,TRUE
+3415-BUP1-PIO1-PI1-ISB952-HI,Remote IO\BUP-IO,Bool,%I2120.5,Dense Phase Transporter High Level,TRUE,TRUE,TRUE
+3415-BUP01-PIO01-PI01-FSW1708-LO FLW,Remote IO\BUP-IO,Bool,%I2120.6,Dense Phase Transport Air Low Flow,TRUE,TRUE,TRUE
+3415-BUP01-PIO01-PI01-FSW1708- HI FLW,Remote IO\BUP-IO,Bool,%I2120.7,Dense Phase Transport Air High Flow,TRUE,TRUE,TRUE
+3415-BUP1-PIO1-PI1-FLWFLEXER-AUTO,Remote IO\BUP-IO,Bool,%I2121.0,Flow Flexer into Auto Mode,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-XY1902-CMD,Remote IO\BUP-IO,Bool,%Q2120.0,Dense Phase Powder Inlet Pinch Valve,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-XY1903-CMD,Remote IO\BUP-IO,Bool,%Q2120.1,Dense Phase Powder Discharge Pinch Valve,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-XY1904-CMD,Remote IO\BUP-IO,Bool,%Q2120.2,Dense Phase Vent Pinch Valve,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-XY1905-CMD,Remote IO\BUP-IO,Bool,%Q2120.3,Venturi Pump,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-XY1906-CMD,Remote IO\BUP-IO,Bool,%Q2120.4,Reclaim to Bulk Unload 1 or  Bulk Unload 2 or Diverter Valve,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-XY1907-CMD,Remote IO\BUP-IO,Bool,%Q2120.5,Discharge Bed Fluidization,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PO05-FLWFLEXER-AUTOEN,Remote IO\BUP-IO,Bool,%Q2120.7,Bulk Unload FlowFlexer Auto Enable,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PSI03-SR701-RLYFB,Remote IO\BUP-SafetyIO,Bool,%I2100.0,BUP01 Master Power Relay Feedback,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PSI03-SR751-RLYFB,Remote IO\BUP-SafetyIO,Bool,%I2100.1,BUP01 EStop Relay Feedback,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PSO04-SR701-CH1,Remote IO\BUP-SafetyIO,Bool,%Q2110.0,BUP01 Master Power Safety Relay Channel 1,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PSO04-SR701-CH2,Remote IO\BUP-SafetyIO,Bool,%Q2110.1,BUP01 Master Power Safety Relay Channel 2,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PSO04-SR751-CH1,Remote IO\BUP-SafetyIO,Bool,%Q2110.2,BUP01 EStop Safety Relay Channel 1,TRUE,TRUE,TRUE
3415-BUP01-PIO01-PSO04-SR751-CH2,Remote IO\BUP-SafetyIO,Bool,%Q2110.3,BUP01 EStop Safety Relay Channel 2,TRUE,TRUE,TRUE